Province,District,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Badakhshan Total,,1100,1705,1927,"2,374","4,204","4,056","6,298","8,311","7,703","4,704","6,395"
Badghis,Ab Kamari,16,5,14,24,-,"1,996",71,281,208,43,642
Badghis,Ghormach,486,1485,1005,"2,395","1,009","6,855","17,594",Part of Faryab,,,
Badghis,Jawand,130,106,187,850,797,683,940,"2,303","1,358",503,"3,688"
Badghis,M uqur,81,9,61,26,47,86,"1,062","2,097",324,314,507
Badghis,Bala M urghab,2055,284,870,-,"3,762","1,417","12,372","18,202","4,682","6,225","11,174"
Badghis,Qadis,135,92,152,264,57,"1,331","3,185","1,802",377,538,"6,365"
Badghis,Qala-i-Now (Provincial Center),55,9,75,37,49,23,11,38,26,8,26
Badghis Total,,2958,1990,2363,"3,596","5,721","12,391","35,234","24,723","6,973","7,631","22,402"
Baghlan,Andarab,-,18,5,3,4,8,92,91,54,14,56
Baghlan,Baghlan *,,,,,,,,,,,
Baghlan,Baghlan-i-Jadeed,-,-,-,-,-,-,-,-,-,-,-
Baghlan,Burka,-,-,-,4,1,0,4,11,25,0,2
Baghlan,Dahana-i- Ghuri,-,-,-,-,-,-,-,-,-,-,-
Baghlan,Deh Salah,-,113,33,37,60,68,351,473,690,111,223
Baghlan,Dushi,,,,,,,,,,,
Baghlan,Firing Wa Gharu,-,-,-,-,-,-,-,-,-,-,-
Baghlan,Gozargah-i-Noor,-,-,-,-,-,-,-,-,-,-,-
Baghlan,Kahmard *,-,-,-,-,-,-,-,-,-,-,-
Baghlan,Khinjan,-,-,-,-,-,-,-,-,-,-,-
Baghlan,Khost Wa Firing,-,-,-,-,-,-,-,-,-,-,-
Baghlan,Khwajah Hijran (Jalgah),-,-,-,-,-,-,84,57,66,12,30
Baghlan,Nahreen,-,-,-,-,-,-,-,-,-,-,-
Baghlan,Pul-i-Hisar,-,30,139,97,103,104,319,424,242,139,263
Baghlan,Pul-i-Khumri (Provincial Center),-,-,-,-,-,-,-,-,-,-,-
Baghlan,Talah wa Barfak,-,-,-,-,-,-,-,-,-,-,-
Baghlan Total,,p-f,161,177,141,168,180,849,"1,057","1,076",275,572
Balkh,Balkh,-,-,-,-,-,-,5,"2,334","4,855","2,647","2,030"
Balkh,Chahar Bolak,-,-,-,10,-,9,316,"4,007","1,515","1,363","1,453"
Balkh,Chahar Kent,-,-,-,-,-,-,-,-,-,-,-
Balkh,Chimtal,-,-,-,400,-,195,"1,764","5,768","1,974","2,782","2,354"
Balkh,Dowlat abad,-,-,-,-,-,-,-,1,7,12,-
Balkh,Dehdadi,-,-,-,-,-,-,-,6,154,125,19
Balkh,Kaldar (Shahrak-i-Hairatan),-,-,-,-,-,-,-,-,-,-,-
Balkh,Khulm,-,-,-,-,-,-,-,-,-,-,-
Balkh,Kishindeh,-,-,-,-,-,-,-,-,-,-,-
Balkh,M armul,,,,,,,,,,,
Balkh,M azar-i-Sharif,-,-,-,-,-,-,-,-,-,-,-
Balkh,Nahr-i-Shahi,-,-,-,-,-,-,-,-,-,-,-
Balkh,Sholgarah,-,-,-,-,-,-,-,-,27,113,90
Balkh,Shortep a,-,-,-,-,-,-,-,-,-,-,-
Balkh,Sharak-e-Hayratan,-,-,-,-,-,-,-,-,-,-,-
Balkh,Zari,-,-,-,-,-,-,-,-,-,-,-
Balkh Total,,p-f,p-f,p-f,410,P-f,204,"2,085","12,116","8,532","7,042","5,946"
,,,,,,,,,,,,
,,,,,,,,,,,,
