WRB Code,Soil type,Area (km2),Sand (%),Clay (%),OM (%),pH (Water),EC (dS/m),Tot. N (ppm),P (ppm),K (ton/ha),S (ppm),CaCO  (ton/ha)3
CM-fl.ca,Calcaric Fluvic Cambisol,"7,150.1",59.3 (±7.4) *,3.7 (±2.1),2.316 (±0.175),8.1 (±0.3),0.43 (±0.66),(-)(-),50.02 (±30.2),(-)(-),78.17 (±98.5),1320.9(+842.6)
CM-fl.sk,Calcaric Leptic Cambisol,"3,705.",61.1 (±3.1),5.9 (±1.9),2.638(±0.167),7.8 (±0.1),0.21 (±0.03),(-)(-),(-)(-),(-)(-),7.58 (±1.9),770.8(+546.2)
CM-lp.ca,Calcaric Leptic Fluvisol,"2,503.28",59.8 (±3.1),4.9 (±0.9),2.667 (±0.170),8.3 (±0.4),0.24 (±0.03),(-)(-),(-)(-),(-)(-),12.11 (±6.3),692.1(+529.9)
CR-cm.sk,Calcaric Nudilithic Leptosol,"9,052.5",60.7 (±2.3),5.6 (±1.1),2.579 (±0.168),7.9 (±0.2),0.20 (±0.03),(-)(-),(-)(-),(-)(-),11.13 (±3.4),487.5(+339.6)
FL-lp.ca,Cambic Nudilithic Leptosol,"1,951.5",60.05 (±2.9),5.5 (±1.3),2.551 (±0.293),7.9 (±0.2),0.20 (±0.04),(-)(-),(-)(-),(-)(-),10.11 (±2.3),1054.3(+783.3)
LP-nt.ca,Cambic Skeletic Leptosol,"3,346.83",61.5 (±10.1),4.6 (±3.03),2.663 (±0.852),7.9 (±0.4),0.47 (±0.92),(-)(-),57.093(±65.7),(-)(-),42.32 (±40.04),1734.0(+658.6)
LP-nt.cm,Skeletic Cambic Cryosol,"60,639.03",60.4 (±3.8),6.3 (±1.4),2.602 (±0.224),7.8 (±0.2),0.18 (±0.05),(-)(-),(-)(-),(-)(-),9.34 (±1.),602.1(+438.5)
LP-sk.cm,Skeletic Fluvic Cambisol,985.5,61.5 (±2.3),4.8 (±1.2),2.399 (±0.138),8.1 (±0.2),0.22 (±0.04),(-)(-),37.6 (±11.02),(-)(-),20.21 (±22.7),479.8(+348.5)
